"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","LF","TOT","THND_PER","A","2005",43631.5,
"MEX","LF","TOT","THND_PER","A","2006",44982.52,
"MEX","LF","TOT","THND_PER","A","2007",45904.54,
"MEX","LF","TOT","THND_PER","A","2008",46769.21,
"MEX","LF","TOT","THND_PER","A","2009",48018.36,
"MEX","LF","TOT","THND_PER","A","2010",48717.79,
"MEX","LF","TOT","THND_PER","A","2011",49721.7,
"MEX","LF","TOT","THND_PER","A","2012",51228.77,
"MEX","LF","TOT","THND_PER","A","2013",51787.09,
"MEX","LF","TOT","THND_PER","A","2014",51924.05,
"MEX","LF","TOT","THND_PER","A","2015",52905.13,
"MEX","LF","TOT","THND_PER","A","2016",53679.95,
"FRA","LF","TOT","THND_PER","A","1956",18799,
"FRA","LF","TOT","THND_PER","A","1957",18868,
"FRA","LF","TOT","THND_PER","A","1958",18890,
"FRA","LF","TOT","THND_PER","A","1959",18836,
"FRA","LF","TOT","THND_PER","A","1960",18838,
"FRA","LF","TOT","THND_PER","A","1961",18820,
"FRA","LF","TOT","THND_PER","A","1962",18980,
"FRA","LF","TOT","THND_PER","A","1963",19338,
"FRA","LF","TOT","THND_PER","A","1964",19616,
"FRA","LF","TOT","THND_PER","A","1965",19818,
"FRA","LF","TOT","THND_PER","A","1966",19975,
"FRA","LF","TOT","THND_PER","A","1967",20145,
"FRA","LF","TOT","THND_PER","A","1968",20221,
"FRA","LF","TOT","THND_PER","A","1969",20466,
"FRA","LF","TOT","THND_PER","A","1970",20791,
"FRA","LF","TOT","THND_PER","A","1971",20948,
"FRA","LF","TOT","THND_PER","A","1972",21106,
"FRA","LF","TOT","THND_PER","A","1973",21390,
"FRA","LF","TOT","THND_PER","A","1974",21604,"B"
"FRA","LF","TOT","THND_PER","A","1975",21609,
"FRA","LF","TOT","THND_PER","A","1976",21872,
"FRA","LF","TOT","THND_PER","A","1977",22183,
"FRA","LF","TOT","THND_PER","A","1978",22319,
"FRA","LF","TOT","THND_PER","A","1979",22524,
